timestamp,temperature,pressure,humidity,accel,latitude,longitude,altitude,liftoffTime,deployTime
4.838,31.18,1025.274,41.175,-0.71,0.0,0.0,0.0,0.0,0.0
4.933,31.19,1025.323,41.165,-0.83,0.0,0.0,0.0,0.0,0.0
5.052,31.2,1025.318,41.051,0.97,0.0,0.0,0.0,0.0,0.0
5.174,31.21,1025.313,40.995,-0.75,0.0,0.0,0.0,0.0,0.0
5.306,31.2,1025.273,41.234,-0.98,0.0,0.0,0.0,0.0,0.0
5.375,31.11,1025.143,41.02,-0.62,0.0,0.0,0.0,0.0,0.0
5.484,31.11,1025.138,41.031,-1.08,0.0,0.0,0.0,0.0,0.0
5.619,31.11,1025.124,41.065,0.0,0.0,0.0,0.0,0.0,0.0
5.779,31.22,1025.306,41.19,-0.47,0.0,0.0,0.0,0.0,0.0
5.875,31.2,1025.245,41.108,-0.32,0.0,0.0,0.0,0.0,0.0
5.982,31.11,1025.128,41.099,-0.3,0.0,0.0,0.0,0.0,0.0
6.122,31.12,1025.165,41.124,-0.7,0.0,0.0,0.0,0.0,0.0
6.227,31.12,1025.135,41.075,-0.07,0.0,0.0,0.0,0.0,0.0
6.344,31.17,1025.231,41.104,0.25,0.0,0.0,0.0,0.0,0.0
6.419,31.17,1025.217,41.14,0.1,0.0,0.0,0.0,0.0,0.0
6.536,31.17,1025.223,41.094,-0.27,0.0,0.0,0.0,0.0,0.0
6.626,31.17,1025.184,41.14,-0.32,0.0,0.0,0.0,0.0,0.0
6.785,31.14,1025.133,40.965,-0.02,0.0,0.0,0.0,0.0,0.0
6.874,31.14,1025.135,41.011,-0.04,0.0,0.0,0.0,0.0,0.0
6.986,31.18,1025.268,41.061,-0.14,0.0,0.0,0.0,0.0,0.0
7.091,31.19,1025.252,41.027,-0.54,0.0,0.0,0.0,0.0,0.0
7.221,31.21,1025.322,41.109,0.01,0.0,0.0,0.0,0.0,0.0
7.286,31.23,1025.347,41.03,0.28,0.0,0.0,0.0,0.0,0.0
7.377,31.23,1025.315,41.007,-0.42,0.0,0.0,0.0,0.0,0.0
7.541,31.23,1025.311,41.065,-0.44,0.0,0.0,0.0,0.0,0.0
7.628,31.23,1025.273,41.065,0.22,0.0,0.0,0.0,0.0,0.0
7.724,31.13,1025.155,41.159,0.8,0.0,0.0,0.0,0.0,0.0
7.864,31.14,1025.181,41.022,0.25,0.0,0.0,0.0,0.0,0.0
7.928,31.13,1025.142,41.079,-0.12,0.0,0.0,0.0,0.0,0.0
8.107,31.15,1025.187,41.034,0.67,0.0,0.0,0.0,0.0,0.0
8.179,31.15,1025.205,41.023,0.26,0.0,0.0,0.0,0.0,0.0
8.313,31.24,1025.332,41.077,0.56,0.0,0.0,0.0,0.0,0.0
8.377,31.19,1025.23,41.085,0.19,0.0,0.0,0.0,0.0,0.0
8.482,31.19,1025.234,41.073,0.76,0.0,0.0,0.0,0.0,0.0
8.627,31.21,1025.287,41.04,0.24,0.0,0.0,0.0,0.0,0.0
8.76,31.19,1025.219,41.039,0.1,0.0,0.0,0.0,0.0,0.0
8.825,31.19,1025.255,41.05,0.37,0.0,0.0,0.0,0.0,0.0
8.926,31.2,1025.267,41.04,0.56,0.0,0.0,0.0,0.0,0.0
9.043,31.19,1025.241,41.039,0.38,0.0,0.0,0.0,0.0,0.0
9.129,31.21,1025.284,41.04,0.12,0.0,0.0,0.0,0.0,0.0
9.294,31.22,1025.282,41.075,0.6,0.0,0.0,0.0,0.0,0.0
9.374,31.25,1025.302,41.065,0.48,0.0,0.0,0.0,0.0,0.0
9.486,31.15,1025.131,41.046,0.11,0.0,0.0,0.0,0.0,0.0
9.591,31.15,1025.143,41.023,0.3,0.0,0.0,0.0,0.0,0.0
9.736,31.17,1025.154,41.082,0.52,0.0,0.0,0.0,0.0,0.0
9.822,31.15,1025.122,41.092,0.15,0.0,0.0,0.0,0.0,0.0
9.982,31.25,1025.327,41.09,0.45,0.0,0.0,0.0,0.0,0.0
10.076,31.25,1025.284,40.952,0.45,0.0,0.0,0.0,0.0,0.0
10.176,31.16,1025.151,41.06,0.3,0.0,0.0,0.0,0.0,0.0
10.288,31.16,1025.15,40.989,0.16,0.0,0.0,0.0,0.0,0.0
10.381,31.17,1025.156,41.014,0.39,0.0,0.0,0.0,0.0,0.0
10.493,31.16,1025.17,41.162,0.22,0.0,0.0,0.0,0.0,0.0
10.574,31.16,1025.142,41.06,-0.01,0.0,0.0,0.0,0.0,0.0
10.679,31.16,1025.148,41.035,0.49,0.0,0.0,0.0,0.0,0.0
10.824,31.17,1025.162,40.979,0.31,0.0,0.0,0.0,0.0,0.0
10.935,31.17,1025.142,41.045,-0.22,0.0,0.0,0.0,0.0,0.0
11.062,31.23,1025.231,41.029,0.15,0.0,0.0,0.0,0.0,0.0
11.126,31.21,1025.199,41.028,0.59,0.0,0.0,0.0,0.0,0.0
11.282,31.21,1025.206,40.972,-0.2,0.0,0.0,0.0,0.0,0.0
11.401,31.22,1025.197,41.007,-0.1,0.0,0.0,0.0,0.0,0.0
11.492,31.22,1025.231,40.984,0.22,0.0,0.0,0.0,0.0,0.0
11.576,31.26,1025.296,40.976,0.07,0.0,0.0,0.0,0.0,0.0
11.737,31.24,1025.287,41.031,-0.11,0.0,0.0,0.0,0.0,0.0
11.827,31.26,1025.281,41.137,0.13,0.0,0.0,0.0,0.0,0.0
11.923,31.18,1025.162,41.05,0.03,0.0,0.0,0.0,0.0,0.0
12.026,31.16,1025.118,40.979,-0.11,0.0,0.0,0.0,0.0,0.0
12.131,31.17,1025.135,41.06,0.03,0.0,0.0,0.0,0.0,0.0
12.279,31.19,1025.183,41.096,-0.07,0.0,0.0,0.0,0.0,0.0
12.388,31.17,1025.139,40.888,-0.06,0.0,0.0,0.0,0.0,0.0
12.486,31.27,1025.33,41.046,0.0,0.0,0.0,0.0,0.0,0.0
12.577,31.27,1025.324,41.011,-0.06,0.0,0.0,0.0,0.0,0.0
12.693,31.25,1025.29,40.905,-0.03,0.0,0.0,0.0,0.0,0.0
12.774,31.27,1025.343,40.92,0.0,0.0,0.0,0.0,0.0,0.0
12.887,31.27,1025.314,40.966,-0.06,0.0,0.0,0.0,0.0,0.0
13.022,31.26,1025.277,40.919,0.0,0.0,0.0,0.0,0.0,0.0
13.128,31.24,1025.252,40.975,-0.06,0.0,0.0,0.0,0.0,0.0
13.235,31.18,1025.198,40.969,-0.04,0.0,0.0,0.0,0.0,0.0
13.344,31.21,1025.216,40.971,0.0,0.0,0.0,0.0,0.0,0.0
13.487,31.23,1025.299,40.974,-0.04,0.0,0.0,0.0,0.0,0.0
13.585,31.28,1025.3,40.955,-0.03,0.0,0.0,0.0,0.0,0.0
13.685,31.22,1025.204,40.984,0.0,0.0,0.0,0.0,0.0,0.0
13.779,31.23,1025.196,40.995,-0.06,0.0,0.0,0.0,0.0,0.0
13.882,31.22,1025.176,41.041,0.0,0.0,0.0,0.0,0.0,0.0
13.994,31.21,1025.172,40.88,-0.06,0.0,0.0,0.0,0.0,0.0
14.131,31.2,1025.117,40.959,-0.04,0.0,0.0,0.0,0.0,0.0
14.249,31.2,1025.13,40.914,-0.04,0.0,0.0,0.0,0.0,0.0
14.334,31.26,1025.261,40.827,-0.05,0.0,0.0,0.0,0.0,0.0
14.441,31.28,1025.365,40.933,-0.01,0.0,0.0,0.0,0.0,0.0
14.526,31.28,1025.337,40.978,-0.01,0.0,0.0,0.0,0.0,0.0
14.632,31.29,1025.338,41.001,-0.05,0.0,0.0,0.0,0.0,0.0
14.771,31.29,1025.333,40.921,-0.03,0.0,0.0,0.0,0.0,0.0
14.883,31.29,1025.295,40.875,-0.09,0.0,0.0,0.0,0.0,0.0
14.974,31.22,1025.218,40.915,0.0,0.0,0.0,0.0,0.0,0.0
15.102,31.21,1025.193,40.869,-0.07,0.0,0.0,0.0,0.0,0.0
15.187,31.21,1025.187,40.972,-0.02,0.0,0.0,0.0,0.0,0.0
15.281,31.21,1025.19,40.971,-0.05,0.0,0.0,0.0,0.0,0.0
15.433,31.21,1025.198,40.869,0.1,0.0,0.0,0.0,0.0,0.0
15.528,31.23,1025.233,41.054,-0.12,0.0,0.0,0.0,0.0,0.0
15.635,31.29,1025.291,40.963,-0.26,0.0,0.0,0.0,0.0,0.0
15.747,31.25,1025.225,40.963,-0.07,0.0,0.0,0.0,0.0,0.0
15.891,31.26,1025.26,40.942,-0.03,0.0,0.0,0.0,0.0,0.0
15.968,31.25,1025.193,40.951,-0.16,0.0,0.0,0.0,0.0,0.0
16.073,31.26,1025.272,40.931,0.04,0.0,0.0,0.0,0.0,0.0
16.188,31.25,1025.249,40.976,-0.01,0.0,0.0,0.0,0.0,0.0
16.276,31.26,1025.264,40.885,-0.2,0.0,0.0,0.0,0.0,0.0
16.384,31.27,1025.289,40.908,0.02,0.0,0.0,0.0,0.0,0.0
16.531,31.27,1025.275,40.829,-0.16,0.0,0.0,0.0,0.0,0.0
16.643,31.3,1025.299,40.865,-0.02,0.0,0.0,0.0,0.0,0.0
16.723,31.21,1025.142,40.983,0.0,0.0,0.0,0.0,0.0,0.0
16.83,31.21,1025.14,41.063,-0.11,0.0,0.0,0.0,0.0,0.0
16.963,31.21,1025.127,40.822,-0.03,0.0,0.0,0.0,0.0,0.0
17.033,31.23,1025.154,40.813,-0.03,0.0,0.0,0.0,0.0,0.0
17.193,31.21,1025.153,40.96,-0.05,0.0,0.0,0.0,0.0,0.0
17.278,31.22,1025.164,40.984,-0.02,0.0,0.0,0.0,0.0,0.0
17.451,31.29,1025.287,40.99,-0.07,0.0,0.0,0.0,0.0,0.0
17.577,31.3,1025.269,40.888,-0.05,0.0,0.0,0.0,0.0,0.0
17.673,31.24,1025.198,40.871,-0.09,0.0,0.0,0.0,0.0,0.0
17.852,31.3,1025.306,40.923,-0.03,0.0,0.0,0.0,0.0,0.0
17.924,31.28,1025.246,40.909,-0.08,0.0,0.0,0.0,0.0,0.0
18.052,31.27,1025.295,40.896,-0.06,0.0,0.0,0.0,0.0,0.0
18.142,31.24,1025.199,40.905,-0.06,0.0,0.0,0.0,0.0,0.0
18.219,31.24,1025.216,40.895,-0.07,0.0,0.0,0.0,0.0,0.0
18.338,31.27,1025.271,40.896,-0.01,0.0,0.0,0.0,0.0,0.0
18.474,31.27,1025.252,40.908,-0.04,0.0,0.0,0.0,0.0,0.0
18.595,31.32,1025.314,40.947,-0.03,0.0,0.0,0.0,0.0,0.0
18.675,31.26,1025.192,40.896,-0.05,0.0,0.0,0.0,0.0,0.0
18.782,31.25,1025.167,40.804,-0.03,0.0,0.0,0.0,0.0,0.0
18.921,31.24,1025.136,40.895,-0.04,0.0,0.0,0.0,0.0,0.0
19.036,31.24,1025.124,40.849,-0.03,0.0,0.0,0.0,0.0,0.0
19.177,31.33,1025.331,40.948,-0.05,0.0,0.0,0.0,0.0,0.0
19.337,31.33,1025.283,40.88,-0.06,0.0,0.0,0.0,0.0,0.0
19.422,31.24,1025.169,40.917,0.04,0.0,0.0,0.0,0.0,0.0
19.529,31.33,1025.356,40.822,-0.02,0.0,0.0,0.0,0.0,0.0
19.636,31.29,1025.295,40.865,-0.09,0.0,0.0,0.0,0.0,0.0
19.785,31.32,1025.294,40.832,0.14,0.0,0.0,0.0,0.0,0.0
19.907,31.3,1025.242,40.889,-0.33,0.0,0.0,0.0,0.0,0.0
19.982,31.24,1025.204,40.813,-0.19,0.0,0.0,0.0,0.0,0.0
20.117,31.27,1025.242,40.862,-0.03,0.0,0.0,0.0,0.0,0.0
20.174,31.25,1025.2,40.884,0.1,0.0,0.0,0.0,0.0,0.0
20.282,31.33,1025.335,40.868,0.0,0.0,0.0,0.0,0.0,0.0
20.427,31.27,1025.201,40.896,-0.08,0.0,0.0,0.0,0.0,0.0
20.537,31.34,1025.326,40.846,0.04,0.0,0.0,0.0,0.0,0.0
20.628,31.29,1025.209,40.875,0.02,0.0,0.0,0.0,0.0,0.0
20.735,31.26,1025.169,40.873,-0.09,0.0,0.0,0.0,0.0,0.0
20.835,31.29,1025.205,40.921,-0.14,0.0,0.0,0.0,0.0,0.0
20.926,31.26,1025.175,40.896,-0.05,0.0,0.0,0.0,0.0,0.0
21.091,31.27,1025.205,40.875,0.02,0.0,0.0,0.0,0.0,0.0
