2025年御宿共同打ち上げ実験　AチームログSTART																				
経過時間	温度	気圧	高度	湿度	加速度x	加速度y	加速度z	重力x	重力y	重力z	温度	ジャイロ	加速度	地磁気	緯度	経度	高度	離床時間	解放信号出力時間	解放検出時間
2000年0月0日	0時0分0																			
8351	18.63	1029.66	-135.73	53.63	0.66	-0.6	9.41	0.46	-0.55	9.77	18	0	0	0	0	0	0	0	0	0
8401	18.63	1029.66	-135.73	53.63	0.66	-0.8	9.28	0.46	-0.55	9.77	18	0	0	0	0	0	0	0	0	0
8451	18.64	1029.65	-135.68	53.67	0.61	-0.63	9.33	0.46	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8501	18.65	1029.65	-135.65	53.68	0.47	-0.45	9.29	0.45	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8551	18.65	1029.65	-135.65	53.68	0.5	-0.56	9.35	0.45	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8601	18.66	1029.71	-136.17	53.67	0.45	-0.37	9.39	0.45	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8651	18.66	1029.71	-136.17	53.67	0.46	-0.37	9.4	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8701	18.68	1029.75	-136.51	53.67	0.57	-0.6	9.31	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8751	18.68	1029.75	-136.51	53.67	0.53	-0.44	9.32	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8801	18.67	1029.71	-136.18	53.69	0.45	-0.58	9.28	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8851	18.67	1029.71	-136.18	53.69	0.56	-0.47	9.27	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8901	18.75	1029.81	-136.95	53.65	0.42	-0.5	9.48	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
8951	18.75	1029.81	-136.95	53.65	0.48	-0.57	9.29	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
9001	18.68	1029.68	-135.91	53.67	0.46	-0.48	9.28	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
9051	18.68	1029.68	-135.91	53.67	0.47	-0.36	9.31	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
9101	18.67	1029.66	-135.75	53.69	0.56	-0.4	9.34	0.44	-0.55	9.78	18	0	0	0	0	0	0	0	0	0
9151	18.67	1029.66	-135.75	53.69	0.7	-0.34	9.42	0.45	-0.54	9.78	18	0	0	0	0	0	0	0	0	0
9201	18.67	1029.65	-135.64	53.66	0.61	-0.4	9.53	0.45	-0.54	9.78	18	0	0	0	0	0	0	0	0	0
9251	18.67	1029.65	-135.64	53.66	0.34	-0.44	9.4	0.45	-0.54	9.78	18	0	0	0	0	0	0	0	0	0
9301	18.64	1029.6	-135.22	53.67	0.47	-0.47	9.31	0.45	-0.54	9.78	18	0	0	0	0	0	0	0	0	0
9351	18.64	1029.6	-135.22	53.67	0.37	-0.39	9.31	0.45	-0.53	9.78	18	0	0	0	0	0	0	0	0	0
9401	18.73	1029.78	-136.76	53.66	0.71	-0.56	9.41	0.45	-0.53	9.78	18	0	0	0	0	0	0	0	0	0
9451	18.73	1029.78	-136.76	53.66	0.56	-0.47	9.46	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9501	18.75	1029.84	-137.24	53.63	0.27	-0.49	9.34	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9551	18.75	1029.84	-137.24	53.63	0.22	-0.51	9.41	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9601	18.76	1029.83	-137.17	53.64	0.45	-0.41	9.27	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9651	18.76	1029.83	-137.17	53.64	0.45	-0.44	9.33	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9701	18.76	1029.8	-136.93	53.58	0.36	-0.45	9.31	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9751	18.76	1029.8	-136.93	53.63	0.2	-0.59	9.37	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9801	18.75	1029.75	-136.48	53.63	0.17	-0.51	9.39	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9851	18.75	1029.75	-136.48	53.63	0.39	-0.61	9.26	0.45	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9901	18.64	1029.66	-135.71	53.6	0.38	-0.64	9.34	0.46	-0.53	9.78	19	0	0	0	0	0	0	0	0	0
9951	18.64	1029.66	-135.71	53.64	0.37	-0.56	9.26	0.46	-0.52	9.78	19	0	0	0	0	0	0	0	0	0
10001	18.75	1029.8	-136.91	53.64	0.29	-0.58	9.28	0.47	-0.52	9.78	19	0	0	0	0	0	0	0	0	0
10051	18.72	1029.71	-136.16	53.59	0.38	-0.44	9.22	0.48	-0.51	9.78	19	0	0	0	0	0	0	0	0	0
10101	18.72	1029.71	-136.16	53.59	0.38	-0.73	9.3	0.49	-0.51	9.78	19	0	0	0	0	0	0	0	0	0
10151	18.7	1029.69	-135.95	53.65	0.62	-0.63	9.15	0.5	-0.5	9.78	19	0	0	0	0	0	0	0	0	0
10201	18.7	1029.69	-135.95	53.65	0.65	-0.59	9.31	0.51	-0.5	9.78	19	0	0	0	0	0	0	0	0	0
10251	18.69	1029.72	-136.22	53.66	0.4	-0.32	9.27	0.53	-0.49	9.77	19	0	0	0	0	0	0	0	0	0
10301	18.69	1029.72	-136.22	53.66	0.61	-0.4	9.13	0.54	-0.48	9.77	19	0	0	0	0	0	0	0	0	0
10351	18.71	1029.74	-136.39	53.62	0.49	-0.33	9.27	0.55	-0.47	9.77	19	0	0	0	0	0	0	0	0	0
10401	18.71	1029.74	-136.39	53.62	0.53	-0.63	9.24	0.56	-0.46	9.77	19	0	0	0	0	0	0	0	0	0
10451	18.71	1029.74	-136.37	53.61	0.52	-0.51	9.21	0.57	-0.45	9.77	19	0	0	0	0	0	0	0	0	0
10501	18.71	1029.74	-136.37	53.61	0.59	-0.46	9.28	0.58	-0.45	9.77	19	0	0	0	0	0	0	0	0	0
10551	18.73	1029.78	-136.75	53.69	0.64	-0.61	9.35	0.6	-0.44	9.77	19	0	0	0	0	0	0	0	0	0
10601	18.73	1029.78	-136.75	53.69	0.76	-0.37	9.26	0.61	-0.43	9.77	19	0	0	0	0	0	0	0	0	0
10651	18.74	1029.78	-136.75	53.5	0.86	-0.28	9.33	0.61	-0.42	9.77	19	0	0	0	0	0	0	0	0	0
10701	18.74	1029.78	-136.75	53.5	0.68	-0.2	9.26	0.62	-0.41	9.77	19	0	0	0	0	0	0	0	0	0
10751	18.76	1029.84	-137.19	53.64	0.64	0.12	9.14	0.62	-0.41	9.77	19	0	0	0	0	0	0	0	0	0
10801	18.76	1029.84	-137.19	53.64	0.96	-0.33	9.18	0.63	-0.4	9.77	19	0	0	0	0	0	0	0	0	0
10851	18.76	1029.78	-136.73	53.65	0.46	-0.16	9.71	0.63	-0.39	9.77	19	0	0	0	0	0	0	0	0	0
10901	18.76	1029.78	-136.73	53.65	0.95	-0.66	9.43	0.63	-0.38	9.77	19	0	0	0	0	0	0	0	0	0
10951	18.65	1029.6	-135.23	53.65	0.84	-0.67	9.25	0.63	-0.39	9.77	19	0	0	0	0	0	0	0	0	0
11001	18.65	1029.6	-135.23	53.65	0.81	-0.14	9.38	0.63	-0.39	9.77	19	0	0	0	0	0	0	0	0	0
11051	18.65	1029.63	-135.46	53.6	0.68	-0.41	9.41	0.63	-0.38	9.77	19	0	0	0	0	0	0	0	0	0
11101	18.65	1029.64	-135.88	53.63	0.56	-0.13	9.39	0.63	-0.38	9.77	19	0	0	0	0	0	0	0	0	0
11151	18.67	1029.68	-135.88	53.63	0.73	0.16	9.35	0.63	-0.38	9.77	19	0	0	0	0	0	0	0	0	0
11201	18.66	1029.64	-135.57	53.63	0.42	-0.39	9.53	0.63	-0.38	9.77	19	0	0	0	0	0	0	0	0	0
11251	18.66	1029.64	-135.57	53.63	0.58	-0.25	9.38	0.63	-0.39	9.77	19	0	0	0	0	0	0	0	0	0
11301	18.66	1029.64	-135.6	53.63	0.72	0.04	9.36	0.62	-0.39	9.77	19	0	0	0	0	0	0	0	0	0
11351	18.66	1029.64	-135.6	53.63	0.36	-0.22	9.44	0.61	-0.4	9.77	19	0	0	0	0	0	0	0	0	0
11401	18.67	1029.69	-135.99	53.63	0.51	-0.01	9.49	0.6	-0.41	9.77	19	0	0	0	0	0	0	0	0	0
11451	18.67	1029.69	-135.99	53.63	0.45	-0.35	9.45	0.59	-0.42	9.77	19	0	0	0	0	0	0	0	0	0
11501	18.76	1029.82	-137.01	53.61	0.47	-0.37	9.55	0.58	-0.43	9.77	19	0	0	0	0	0	0	0	0	0
11551	18.76	1029.82	-137.01	53.61	0.39	-0.4	9.47	0.57	-0.44	9.77	19	0	0	0	0	0	0	0	0	0
11601	18.68	1029.65	-135.67	53.6	0.67	-0.67	9.42	0.56	-0.46	9.77	19	0	0	0	0	0	0	0	0	0
11651	18.68	1029.65	-135.67	53.6	0.2	-0.38	9.41	0.55	-0.47	9.77	19	0	0	0	0	0	0	0	0	0
11701	18.66	1029.61	-135.31	53.62	0.38	-0.71	9.49	0.54	-0.48	9.77	19	0	0	0	0	0	0	0	0	0
11751	18.66	1029.61	-135.31	53.62	0.38	-0.64	9.48	0.53	-0.5	9.77	19	0	0	0	0	0	0	0	0	0
11801	18.69	1029.68	-135.88	53.54	0.29	-0.52	9.43	0.53	-0.51	9.77	19	0	0	0	0	0	0	0	0	0
11851	18.69	1029.68	-135.88	53.54	0.24	-0.45	9.46	0.53	-0.53	9.77	19	0	0	0	0	0	0	0	0	0
11901	18.67	1029.65	-135.63	53.68	0.38	-0.36	9.5	0.53	-0.55	9.77	19	0	0	0	0	0	0	0	0	0
11951	18.67	1029.65	-135.63	53.68	0.29	-0.64	9.42	0.52	-0.56	9.77	19	0	0	0	0	0	0	0	0	0
12001	18.68	1029.66	-135.77	53.65	0.39	-0.54	9.38	0.52	-0.57	9.77	19	0	0	0	0	0	0	0	0	0
