timestamp,temperature,pressure,humidity,accel,latitude,longitude,altitude,liftoffTime,deployTime
4.587,18.74,1029.586,53.665,9.18,0.0,0.0,0.0,0.0,0.0
4.678,18.74,1029.595,53.631,9.14,0.0,0.0,0.0,0.0,0.0
4.762,18.76,1029.649,53.71,9.27,0.0,0.0,0.0,0.0,0.0
4.896,18.76,1029.689,53.654,9.39,0.0,0.0,0.0,0.0,0.0
5.232,18.81,1029.712,53.595,9.5,0.0,0.0,0.0,0.0,0.0
5.309,18.78,1029.703,53.691,9.58,0.0,0.0,0.0,0.0,0.0
5.426,18.78,1029.715,53.636,9.61,0.0,0.0,0.0,0.0,0.0
5.549,18.78,1029.71,53.613,9.78,0.0,0.0,0.0,0.0,0.0
5.636,18.76,1029.68,53.6,9.73,0.0,0.0,0.0,0.0,0.0
5.708,18.76,1029.686,53.6,9.81,0.0,0.0,0.0,0.0,0.0
5.977,18.79,1029.746,53.637,9.89,0.0,0.0,0.0,0.0,0.0
6.111,18.86,1029.839,53.767,10.06,0.0,0.0,0.0,0.0,0.0
6.2,18.84,1029.814,53.61,9.68,0.0,0.0,0.0,0.0,0.0
6.249,18.82,1029.768,53.653,9.72,0.0,0.0,0.0,0.0,0.0
6.519,18.8,1029.714,53.616,9.61,0.0,0.0,0.0,0.0,0.0
6.663,18.81,1029.711,53.661,9.62,0.0,0.0,0.0,0.0,0.0
6.817,18.83,1029.798,53.686,9.3,0.0,0.0,0.0,0.0,0.0
6.932,18.85,1029.777,53.633,9.29,0.0,0.0,0.0,0.0,0.0
7.012,18.86,1029.777,53.667,9.09,0.0,0.0,0.0,0.0,0.0
7.173,18.87,1029.803,53.78,9.05,0.0,0.0,0.0,0.0,0.0
7.41,18.79,1029.638,53.648,8.95,0.0,0.0,0.0,0.0,0.0
7.462,18.77,1029.586,53.667,9.11,0.0,0.0,0.0,0.0,0.0
7.58,18.76,1029.59,53.667,9.0,0.0,0.0,0.0,0.0,0.0
7.713,18.78,1029.637,53.658,9.06,0.0,0.0,0.0,0.0,0.0
7.774,18.81,1029.697,53.661,9.19,0.0,0.0,0.0,0.0,0.0
7.885,18.84,1029.704,53.644,9.12,0.0,0.0,0.0,0.0,0.0
8.059,18.86,1029.734,53.645,9.32,0.0,0.0,0.0,0.0,0.0
8.24,18.78,1029.591,53.625,9.4,0.0,0.0,0.0,0.0,0.0
8.411,18.76,1029.576,53.733,9.41,0.0,0.0,0.0,0.0,0.0
8.538,18.77,1029.6,53.635,9.59,0.0,0.0,0.0,0.0,0.0
8.659,18.76,1029.606,53.622,9.51,0.0,0.0,0.0,0.0,0.0
